#index 平小韻 上小韻 去小韻 入小韻 重上歸于去 file_name 增補小韻
1 1 670 1237 1920 FALSE tung.m4a 
2 2 671 1238 1897 FALSE thung.m4a 
3 3 672 1239 1898 TRUE dung.m4a 
4 4 673 1240 1899 FALSE lung.m4a 
5 5 ? ? ? FALSE lyung.m4a 4
6 6 2266 ? 1891 TRUE bung.m4a 
7 7 675 1246 1892 FALSE mung.m4a 
8 8 ? 1234 1895 FALSE tshung.m4a 
9 9 676 1235 ? FALSE tzung.m4a 
10 10 691 1236 1902 FALSE tzyung.m4a 1918
11 11 ? ? 1896 TRUE dzung.m4a 
12 12 ? 1253 ? TRUE dzyung.m4a 
399 385 991 1633  TRUE daw.m4a 
400 386 992 1634  FALSE law.m4a 
401 388 980 1623  FALSE khaw.m4a 
402 389 994 1636  FALSE ko.m4a 
403 390 995 1638  FALSE kho.m4a 
404 391 ? 1658  FALSE ho.m4a 
405 392 996 ?  FALSE qo.m4a 
406 393 998 1641  TRUE hho.m4a 
407 394 997 1642  FALSE ngo.m4a 
408 395 1004 1644  FALSE so.m4a 
409 396 1005 ?  FALSE tsho.m4a 
410 397 ? ?  TRUE dzo.m4a 
411 398 1000 1648  FALSE to.m4a 
412 399 ? ?  FALSE tho.m4a 
413 400 1001 ?  TRUE do.m4a 
414 401 ? 1643  FALSE lo.m4a 
415 402 1002 1647  FALSE no.m4a 
416 403 1006 1637  FALSE kwo.m4a 
417 404 1007 1639  FALSE khwo.m4a 
418 405 1010 1654  FALSE qwo.m4a 
419 406 1009 1640  TRUE hhwo.m4a 
420 407 1018 ?  FALSE ngwo.m4a 
421 408 1011 1649  FALSE pwo.m4a 
422 409 1012 1650  FALSE phwo.m4a 
423 410 ? ?  TRUE bwo.m4a 
424 411 1003 1651  FALSE mwo.m4a 
425 412 1019 1659  FALSE ma.m4a 
426 413 ? 1660  FALSE pha.m4a 
427 414 1020 1661  FALSE pa.m4a 
428 415 ? 1670  TRUE ba.m4a 
429 416 1023 1662  FALSE sha.m4a 
430 417 1026 1665  FALSE tcha.m4a 
431 418 1021 1663  FALSE tca.m4a 
432 419 ? ?  FALSE tcwa.m4a 
433 420 1022 1664  TRUE dra.m4a 
434 421 2268 ?  FALSE na.m4a 
435 422 1024 1666  TRUE hhia.m4a 
436 423 1027 1667  FALSE hia.m4a 
437 424 ? 1668  FALSE khia.m4a 
438 425 1025 1669  FALSE kia.m4a 
439 426 ? ?  TRUE gia.m4a 
440 427 1028 1671  FALSE qia.m4a 
